_recordId,prolific_id,age,country,gender,education,considered_CS,carried_out_CS_activities,extraversion_enthusiastic,critical_quarrelsome,dependable_self-disciplined,anxious_easily_upset,openness_to_experiences,reserved_quiet,sympathetic_warm,disorganized_careless,calm_emotionally_stable,conventional_uncreative,philosophy1,philosophy2,philosophy3,philosophy4,philosophy5,philosophy6,philosophy7,philosophy8,philosophy9,philosophy10,philosophy11,philosophy12,philosophy13,philosophy14,philosophy15,philosophy16,philosophy17,philosophy18,philosophy19,philosophy20,philosophy21,philosophy22,philosophy23,philosophy24,philosophy25,philosophy26,philosophy27,philosophy28,philosophy29,philosophy30,philosophy31,philosophy32,philosophy33,philosophy34,philosophy35,QID139_17,authority_edu,social_proof_edu,appeal_finances_edu,awareness_words_edu,semantic_repetition_priming_edu,appeal_to_common_sense,flattery_edu,hypocrisy_induction_edu,scarcity_edu,device_rhetorical_question_edu,device_hypophora_edu,semantic_repetition_edu,device_epistrophe,device_anaphora_edu,device_antanagoge_edu,Illusion_of_superiority_edu,appeal_finances_cs,awareness_words_cs,authority_cs,social_proof_cs,QID161_TEXT,QID141_TEXT,SC_6X9hnx1aa222uxf
R_0UIBVtbRZBO67dv,5eeca239c00bfb03bf35e5d6,48,Great Britain,Female,Masters Degree,No,Yes and it made me MORE interested in the subject,Agree a little,Agree moderately,Agree moderately,Disagree a little,Agree moderately,Neither agree nor disagree,Disagree a little,Disagree moderately,Disagree a little,Neither agree nor disagree,"Agree Slightly					","Agree Slightly					","Disagree Slightly					","Neutral					","Disagree Slightly					",Disagree Very Much,"Disagree Slightly					","Agree Slightly					",Disagree Very Much,"Agree Slightly					","Agree Slightly					","Neutral					","Disagree Slightly					","Agree Slightly					","Agree Slightly					","Agree Slightly					",Disagree Very Much,Agree Strongly,"Agree Slightly					","Agree Slightly					","Neutral					","Agree Slightly					","Neutral					","Agree Slightly					","Agree Slightly					","Disagree Slightly					","Agree Slightly					","Agree Slightly					","Agree Slightly					",Disagree Very Much,"Agree Slightly					","Agree Slightly					","Agree Slightly					","Disagree Slightly					",Disagree Very Much,2,7,3,1,2,2,4,4,6,6,3,2,2,3,8,6,6,6,6,4,4,"That your research about the advantages of general college degrees does not bear out - people who take college degrees are not advantaged over their same age peers who go into employment straight from school; they are often earning as much if not more than their college degree friends and without the associated debts;  the advantage effects are felt more after further, higher degrees rather than undergraduate degrees.  ",,108
R_3nSkKfxtwyJy3kS,5e3c552373399a034e7cbd62,29,Poland,Male,Bachelors Degree,Yes,Yes and it made me MORE interested in the subject,Agree moderately,Agree a little,Agree moderately,Disagree a little,Agree a little,Agree moderately,Agree a little,Neither agree nor disagree,Agree moderately,Neither agree nor disagree,"Agree Slightly					","Disagree Slightly					","Disagree Slightly					","Agree Slightly					","Disagree Slightly					","Agree Slightly					","Neutral					","Disagree Slightly					","Disagree Slightly					","Disagree Slightly					","Agree Slightly					","Neutral					","Agree Slightly					","Disagree Slightly					","Disagree Slightly					","Neutral					","Neutral					","Disagree Slightly					","Agree Slightly					","Neutral					","Disagree Slightly					","Neutral					","Agree Slightly					","Neutral					","Agree Slightly					","Neutral					","Neutral					","Disagree Slightly					","Agree Slightly					",Disagree Very Much,"Agree Slightly					","Neutral					","Disagree Slightly					","Agree Slightly					","Agree Slightly					",8,6,6,2,3,3,5,5,8,8,4,2,3,4,6,2,3,2,4,6,4,,,196
R_1dGP6jHnzORsuTy,5eeae8395feed2227bf595f3,20,United States of America (USA),Female,Some High School,Yes,Yes and it made me MORE interested in the subject,Agree moderately,Neither agree nor disagree,Agree moderately,Disagree moderately,Agree strongly,Agree moderately,Disagree a little,Agree a little,Agree moderately,Disagree moderately,"Agree Slightly					","Disagree Slightly					","Agree Slightly					","Disagree Slightly					","Neutral					","Disagree Slightly					","Agree Slightly					","Agree Slightly					","Neutral					","Disagree Slightly					",Agree Strongly,"Agree Slightly					",Agree Strongly,"Agree Slightly					","Neutral					","Disagree Slightly					",Agree Strongly,"Neutral					","Neutral					","Agree Slightly					","Agree Slightly					","Neutral					",Agree Strongly,"Agree Slightly					",Agree Strongly,Agree Strongly,Agree Strongly,"Neutral					",Agree Strongly,"Neutral					","Agree Slightly					","Agree Slightly					","Agree Slightly					",Agree Strongly,"Neutral					",4,5,6,5,3,5,6,7,4,5,3,5,3,4,4,5,6,4,7,6,4,Add more interesting unexpected facts or words to grab peoples’ attention,,212
R_3PtxiDf7jHYujV6,5dbec8af4a8eb43937c03d2b,20,Canada,Male,High School,No,Yes and it made me LESS interested in the subject,Disagree a little,Agree a little,Agree moderately,Agree moderately,Agree moderately,Agree strongly,Agree moderately,Disagree a little,Agree a little,Neither agree nor disagree,"Agree Slightly					","Agree Slightly					","Neutral					","Agree Slightly					","Disagree Slightly					","Neutral					","Disagree Slightly					","Neutral					",Disagree Very Much,Agree Strongly,"Agree Slightly					","Agree Slightly					",Disagree Very Much,"Disagree Slightly					",Disagree Very Much,"Neutral					",Disagree Very Much,Agree Strongly,"Neutral					",Agree Strongly,"Agree Slightly					","Neutral					","Agree Slightly					","Agree Slightly					","Agree Slightly					","Disagree Slightly					",Agree Strongly,"Neutral					","Disagree Slightly					",Disagree Very Much,"Agree Slightly					","Neutral					","Agree Slightly					","Neutral					","Disagree Slightly					",10,6,8,5,7,4,7,7,10,10,7,10,5,8,10,10,9,4,8,10,8,He has some very compelling arguments.,,81
R_3fwmqGfwllb2htR,5cb08ecee11a890001a478ad,30,Ghana,Male,Bachelors Degree,Yes,Yes and it made me MORE interested in the subject,Agree a little,Neither agree nor disagree,Agree a little,Disagree a little,Agree moderately,Agree a little,Agree moderately,Neither agree nor disagree,Disagree moderately,Neither agree nor disagree,"Neutral					","Disagree Slightly					","Agree Slightly					","Disagree Slightly					","Neutral					","Disagree Slightly					","Neutral					","Neutral					","Disagree Slightly					","Agree Slightly					","Agree Slightly					","Disagree Slightly					","Neutral					","Agree Slightly					","Neutral					","Neutral					","Disagree Slightly					","Neutral					",Disagree Very Much,"Agree Slightly					","Agree Slightly					","Agree Slightly					","Agree Slightly					",Agree Strongly,"Agree Slightly					","Agree Slightly					",Agree Strongly,"Neutral					","Neutral					",Disagree Very Much,"Agree Slightly					","Agree Slightly					","Neutral					","Neutral					",Disagree Very Much,7,6,10,9,5,6,6,7,5,9,3,8,5,6,7,7,8,1,8,8,10,I suggest Galileo will match up the colors on the board much better next time,https://app.prolific.co/submissions/complete?cc=12DFEA33,110
R_1k203VKWnJvMUkJ,5eaa5e67653dfc1ee5099735,36,United States of America (USA),Male,Prefer not to say,No,Other,Disagree a little,Agree a little,Agree a little,Disagree strongly,Agree moderately,Neither agree nor disagree,Agree a little,Disagree a little,Agree a little,Disagree a little,"Neutral					",Disagree Very Much,Disagree Very Much,"Agree Slightly					","Disagree Slightly					","Neutral					","Disagree Slightly					","Agree Slightly					","Neutral					","Neutral					","Agree Slightly					","Neutral					","Neutral					","Disagree Slightly					","Disagree Slightly					","Neutral					","Disagree Slightly					","Agree Slightly					","Neutral					","Neutral					","Neutral					","Disagree Slightly					","Agree Slightly					","Neutral					","Neutral					","Neutral					","Agree Slightly					","Neutral					","Neutral					",Disagree Very Much,"Agree Slightly					","Neutral					","Disagree Slightly					","Neutral					","Neutral					",5,5,5,2,2,4,3,3,4,4,2,2,1,1,1,1,2,1,1,1,1,none,,236
R_3s7JtbmpdYaN709,5c70506a18126000010d4b00,21,United States of America (USA),Female,Bachelors Degree,Yes,Yes and it made me LESS interested in the subject,Disagree strongly,Agree a little,Agree moderately,Agree moderately,Agree moderately,Agree strongly,Agree strongly,Agree a little,Agree a little,Disagree moderately,"Neutral					","Disagree Slightly					","Agree Slightly					","Agree Slightly					","Neutral					",Disagree Very Much,"Agree Slightly					","Disagree Slightly					",Disagree Very Much,Disagree Very Much,Disagree Very Much,Disagree Very Much,Disagree Very Much,Disagree Very Much,Disagree Very Much,"Disagree Slightly					",Disagree Very Much,"Agree Slightly					","Disagree Slightly					","Disagree Slightly					","Disagree Slightly					","Neutral					",Agree Strongly,"Disagree Slightly					","Agree Slightly					","Disagree Slightly					","Agree Slightly					","Agree Slightly					",Disagree Very Much,Disagree Very Much,"Agree Slightly					",Disagree Very Much,"Disagree Slightly					",Agree Strongly,"Agree Slightly					",7,7,6,5,7,6,4,7,3,4,3,3,3,2,1,1,2,2,3,4,1,"Different font color and background, because it was difficult to read the font with the colors chosen.",,260
R_2uQUHYzmYQLYKJl,5eed210337a90c13259c6cd3,19,Virgin Islands (UK),Male,High School,Yes,Yes and it made me MORE interested in the subject,Disagree a little,Disagree a little,Neither agree nor disagree,Disagree moderately,Agree a little,Neither agree nor disagree,Agree a little,Disagree strongly,Neither agree nor disagree,Neither agree nor disagree,"Neutral					","Neutral					","Disagree Slightly					","Agree Slightly					","Disagree Slightly					","Disagree Slightly					","Disagree Slightly					","Disagree Slightly					",Disagree Very Much,Disagree Very Much,"Agree Slightly					",Disagree Very Much,Disagree Very Much,Disagree Very Much,Disagree Very Much,Disagree Very Much,Disagree Very Much,Agree Strongly,"Disagree Slightly					","Agree Slightly					",Agree Strongly,"Disagree Slightly					","Disagree Slightly					","Agree Slightly					","Neutral					","Neutral					","Neutral					",Agree Strongly,"Disagree Slightly					",Disagree Very Much,Agree Strongly,Agree Strongly,Agree Strongly,Agree Strongly,"Neutral					",8,6,10,2,6,2,10,7,10,10,10,6,9,9,7,5,4,6,10,10,8,,,239
R_10DCMg8lmBpmkVD,5ee3accfb1f02f061f7c8ac7,26,Poland,Male,High School,No,Yes and it didn’t change my mind about the subject,Agree a little,Neither agree nor disagree,Disagree a little,Neither agree nor disagree,Neither agree nor disagree,Agree a little,Neither agree nor disagree,Disagree a little,Disagree a little,Disagree strongly,"Disagree Slightly					",Disagree Very Much,Disagree Very Much,"Agree Slightly					","Disagree Slightly					","Agree Slightly					","Disagree Slightly					","Disagree Slightly					","Disagree Slightly					",Disagree Very Much,"Agree Slightly					","Disagree Slightly					","Agree Slightly					",Disagree Very Much,"Disagree Slightly					",Disagree Very Much,"Neutral					","Agree Slightly					",Disagree Very Much,"Disagree Slightly					",Disagree Very Much,Disagree Very Much,"Neutral					","Disagree Slightly					","Disagree Slightly					","Agree Slightly					","Agree Slightly					","Disagree Slightly					","Agree Slightly					",Disagree Very Much,Disagree Very Much,"Disagree Slightly					","Agree Slightly					","Neutral					","Disagree Slightly					",5,5,7,6,5,4,8,5,8,8,9,5,10,5,3,8,8,8,7,8,10,I expected most sentences. I would add more real stories of unknown people that you can read about in the articles.,5ee3accfb1f02f061f7c8ac7,196
R_2e9DrCHW47eXIWd,5cbb779ffb8dfe0015839672,19,Greece,Male,High School,Yes,Yes and it made me MORE interested in the subject,Agree moderately,Disagree a little,Agree a little,Agree moderately,Agree a little,Agree moderately,Agree strongly,Agree a little,Agree a little,Agree moderately,Agree Strongly,"Agree Slightly					","Disagree Slightly					","Neutral					","Disagree Slightly					","Agree Slightly					","Agree Slightly					","Neutral					",Disagree Very Much,Agree Strongly,"Neutral					",Disagree Very Much,Disagree Very Much,Disagree Very Much,Disagree Very Much,Disagree Very Much,Disagree Very Much,Disagree Very Much,"Agree Slightly					","Disagree Slightly					","Disagree Slightly					","Agree Slightly					","Neutral					","Agree Slightly					","Agree Slightly					","Agree Slightly					",Agree Strongly,"Disagree Slightly					","Agree Slightly					",Disagree Very Much,"Agree Slightly					","Agree Slightly					","Disagree Slightly					",Agree Strongly,"Agree Slightly					",8,6,7,7,9,10,3,5,5,3,2,1,3,4,1,2,6,8,6,7,10,,,130
